fastq_name,syn_id,visit,donor_id,library_id
BRI_410_S6_L001_R1_001.fastq.gz,syn26330212,V0,300-0460,BRI_410
BRI_410_S6_L001_R2_001.fastq.gz,syn26330214,V0,300-0460,BRI_410
BRI_414_S8_L001_R1_001.fastq.gz,syn26330259,V0,300-0143,BRI_414
BRI_414_S8_L001_R2_001.fastq.gz,syn26330261,V0,300-0143,BRI_414
BRI_416_S9_L001_R1_001.fastq.gz,syn26330273,V0,300-1933,BRI_416
BRI_416_S9_L001_R2_001.fastq.gz,syn26330279,V0,300-1933,BRI_416
BRI_404_S3_L001_R1_001.fastq.gz,syn26330547,V0,300-0150,BRI_404
BRI_404_S3_L001_R2_001.fastq.gz,syn26330548,V0,300-0150,BRI_404
BRI_408_S5_L001_R1_001.fastq.gz,syn26330133,V0,300-2663,BRI_408
BRI_408_S5_L001_R2_001.fastq.gz,syn26330136,V0,300-2663,BRI_408
BRI_402_S2_L001_R1_001.fastq.gz,syn26330542,V0,300-0302,BRI_402
BRI_402_S2_L001_R2_001.fastq.gz,syn26330543,V0,300-0302,BRI_402
BRI_400_S1_L001_R1_001.fastq.gz,syn26330529,V0,301-0267,BRI_400
BRI_400_S1_L001_R2_001.fastq.gz,syn26330530,V0,301-0267,BRI_400
